group	auc
trad_lipid_fdr	0.753605769230769
trad_lipid_fdr	0.766225961538462
trad_lipid_fdr	0.755408653846154
trad_lipid_fdr	0.791346153846154
trad_lipid_fdr	0.833413461538462
trad_lipid_fdr	0.8359375
trad_lipid_fdr	0.750480769230769
trad_lipid_fdr	0.794951923076923
trad_lipid_fdr	0.806730769230769
trad_lipid_fdr	0.865384615384615
trad_lipid_fdr	0.813581730769231
trad_lipid_fdr	0.895913461538462
trad_lipid_fdr	0.819350961538462
trad_lipid_fdr	0.798918269230769
trad_lipid_fdr	0.843990384615385
trad_lipid_fdr	0.756129807692308
trad_lipid_fdr	0.7984375
trad_lipid_fdr	0.809855769230769
trad_lipid_fdr	0.835576923076923
trad_lipid_fdr	0.848798076923077
trad_lipid_fdr	0.736658653846154
trad_lipid_fdr	0.839423076923077
trad_lipid_fdr	0.8390625
trad_lipid_fdr	0.844110576923077
trad_lipid_fdr	0.817668269230769
trad_lipid_fdr	0.799038461538461
trad_lipid_fdr	0.800360576923077
trad_lipid_fdr	0.780649038461538
trad_lipid_fdr	0.825600961538462
trad_lipid_fdr	0.8328125
trad_lipid_fdr	0.801802884615385
trad_lipid_fdr	0.818990384615385
trad_lipid_fdr	0.809014423076923
trad_lipid_fdr	0.821754807692308
trad_lipid_fdr	0.828485576923077
trad_lipid_fdr	0.853966346153846
trad_lipid_fdr	0.773677884615385
trad_lipid_fdr	0.822355769230769
trad_lipid_fdr	0.7640625
trad_lipid_fdr	0.849639423076923
trad_lipid_fdr	0.794110576923077
trad_lipid_fdr	0.792427884615385
trad_lipid_fdr	0.814182692307692
trad_lipid_fdr	0.788701923076923
trad_lipid_fdr	0.817668269230769
trad_lipid_fdr	0.771995192307692
trad_lipid_fdr	0.791346153846154
trad_lipid_fdr	0.844711538461538
trad_lipid_fdr	0.838100961538461
trad_lipid_fdr	0.830408653846154
trad_lipid_fdr	0.836658653846154
trad_lipid_fdr	0.804086538461538
trad_lipid_fdr	0.787860576923077
